Butyrate,Acetate,Lactate,Succinate,OD
5.511,44.5201,55.9435,10.2271,2.501
6.7143,52.9674,56.1,11.8639,2.496
8.5,51.5459,57.964,11.0472,1.583
8.5079,50.6467,57.6426,11.6953,2.141
8.5935,52.3399,54.7849,10.1286,2.419
9.06,52.1862,62.9241,11.8081,2.389
9.1029,46.0932,48.4126,9.6147,2.598
7.2111,42.805,57.0644,11.0679,2.483
7.4621,48.4163,56.1284,11.4734,2.57
7.4151,45.0367,52.4304,10.1922,2.513
8.5289,53.288,60.2573,12.758,1.789
9.8783,54.2747,60.8376,13.1697,2.317
9.1547,46.1903,54.5974,10.6203,2.379
8.7435,38.7512,45.0692,9.0131,2.413
10.578,43.5667,44.3201,7.9331,2.296
11.9641,40.4043,36.6038,13.7335,2.422
10.403,33.7702,33.2518,12.1397,2.549
15.7986,51.8603,48.271,17.7242,3.044
12.8359,42.0371,33.9733,14.7756,2.168
8.3494,40.2089,45.9749,10.1241,2.378
9.1762,44.566,54.3846,11.1824,2.339
8.7696,45.3662,53.5801,8.5236,2.505
10.5122,43.7091,48.3043,10.4925,2.291
6.8919,42.733,54.2584,11.8029,2.323
8.5293,46.49,55.0607,11.7141,2.478
8.7156,48.439,56.7566,12.3912,2.712
8.7754,50.4683,58.3529,13.066,2.348
10.1394,49.7312,55.0952,13.0551,2.315
8.107,42.0283,44.8983,9.7831,2.382
9.5375,44.1317,50.7043,10.872,2.251
10.157,40.4321,41.5426,8.1322,2.304
7.6398,47.0255,60.4064,13.6671,2.322
7.8578,44.7317,51.8242,11.7364,2.571
8.8258,51.0136,61.8383,13.8687,2.92
10.132,49.9722,54.4286,13.0996,2.303
1.155,52.5471,55.8946,13.2827,2.127
1.1366,53.5357,56.9548,11.5958,2.159
1.1022,42.5643,50.1153,11.1229,2.303
1.2911,55.8105,53.9387,12.783,2.123
6.3553,37.1469,47.1972,11.4169,2.222
7.6475,47.7731,56.6248,13.94,2.388
8.3559,50.8449,58.9934,15.0584,2.374
6.3921,40.9192,48.4996,12.3485,2.04
12.3193,44.3067,49.8835,14.8443,2.15
11.2065,41.5617,52.1999,13.2975,2.524
10.7643,39.6404,47.8587,12.9968,2.167
11.9533,38.5111,41.9177,11.5113,2.353
11.1973,31.221,40.7235,13.8497,2.174
13.2922,37.4469,46.2949,15.7546,2.202
13.0295,33.7721,40.7451,15.5057,2.466
13.1718,33.3346,42.2431,14.8377,2.09
9.7683,40.7085,47.3636,12.3463,2.36
9.2556,39.1696,41.6464,10.4504,2.35
12.1488,44.3743,51.843,12.168,2.335
12.0667,44.911,49.8199,10.7239,2.291
9.576,46.3025,60.9457,14.4352,2.276
7.1704,41.4204,51.2248,12.6617,2.252
9.0031,48.7753,53.3031,14.443,2.723
8.4828,44.2979,55.1558,13.7,2.103
10.689,47.3419,49.4317,12.8881,2.363
9.822,40.3435,44.3019,11.8096,2.399
10.94,41.8215,43.674,8.0119,2.22
10.4195,37.5365,41.455,9.2295,2.344
9.6578,49.0255,64.0786,13.5294,2.551
9.6203,46.225,54.1544,12.142,2.439
9.6898,48.3084,55.8644,12.8871,2.83
10.1,48.3698,54.4116,13.5534,2.251
11.7751,43.0147,51.0488,11.0154,2.255
10.9565,43.3401,49.4884,10.4539,2.268
10.7731,43.9997,47.8389,10.751,2.286
10.5781,38.5883,43.6072,8.8766,2.161
8.0466,40.2729,52.6744,12.2706,2.297
8.1607,45.0979,51.9508,12.387,2.389
9.5223,46.5763,50.3461,12.4827,2.889
10.7045,47.9954,54.3013,13.335,2.357
11.3159,47.2814,51.3592,12.5787,2.27
11.7084,44.2199,51.4408,11.873,2.172
11.4179,43.262,54.9308,11.5394,2.075
10.8488,38.9068,48.3108,7.8034,1.949
10.001,51.7601,57.9393,12.3393,2.321
9.3958,44.1593,50.6528,10.4546,2.408
9.3494,45.4005,52.1353,12.3697,2.925
10.5397,45.9464,50.4331,12.557,2.26
9.5163,45.7363,50.6588,11.6351,2.201
10.5568,44.4768,51.7143,12.0288,2.203
10.6285,43.4897,47.9067,11.3349,2.389
10.0045,41.2693,49.3861,10.3545,2.092
7.1853,42.5271,49.8655,11.2379,2.274
7.0326,46.2277,49.8013,11.5705,2.264
8.0015,49.395,57.2067,12.7919,2.902
7.8359,43.6875,52.4991,12.2693,2.203
6.0268,39.6532,52.3797,8.0766,2.674
8.0669,47.5943,56.0556,0,2.51
7.2704,46.6472,53.8895,6.654,2.362
5.5217,31.3848,43.3411,7.3076,2.339
7.0939,43.5657,46.7539,6.5353,2.255
5.5411,34.7849,46.0917,5.4485,2.773
6.7412,47.1041,57.7111,8.2066,2.242
8.1302,43.7502,52.6256,6.3685,2.42
5.366,33.0853,45.4562,7.6551,2.621
6.7082,47.3148,55.0067,9.5391,2.522
6.6091,45.0112,52.8497,9.2346,2.394
7.086,43.2355,47.9822,12.6815,2.287
18.0829,29.2543,37.0035,18.6886,2.2146
17.2826,33.5123,37.8742,18.6729,2.3036
19.8788,34.4847,39.052,18.3761,2.0366
19.1295,31.8353,39.7804,17.025,2.1646
28.4265,24.867,11.9017,28.4496,2.1716
18.9328,28.8574,35.9751,20.2995,2.2106
21.8196,30.7183,38.6896,19.7227,2.1296
17.854,27.6929,28.4339,17.4619,2.3536
21.5241,33.6699,46.3255,19.6857,2.2066
3.9718,41.9977,51.895,19.3036,2.0556
15.3855,32.7587,29.7749,18.6203,2.0416
16.3785,32.2369,39.7878,15.0793,1.9536
18.1183,30.0477,34.1244,13.2984,2.1716
18.7037,26.2203,28.8002,22.3038,2.2266
16.9602,27.9909,34.3815,20.4844,2.0516
19.661,28.515,32.2653,17.4965,2.2626
20.4539,33.372,41.7456,18.5548,2.2036
19.4922,35.42,35.7764,16.6752,2.0836
17.7754,29.2298,35.5324,17.5798,2.0456
19.067,30.0892,31.7256,15.0527,2.1206
17.7176,30.8852,37.8014,16.8133,2.1496
18.1581,28.9247,29.2722,19.7159,2.2166
19.689,28.9861,30.3964,19.6968,2.1596
20.78,32.9149,40.1052,16.9641,2.1386
20.6978,32.0033,41.7104,20.2784,2.1596
17.0647,28.0727,28.6562,17.514,2.1336
19.0283,26.6842,25.8461,22.1978,2.2146
21.0402,31.2115,33.0676,23.4008,2.3036
17.532,24.7486,23.9349,20.4907,2.0366
18.7267,25.3037,24.0336,19.9271,2.1646
31.3856,21.0295,6.41,25.2199,2.1716
18.3295,26.7494,28.3756,22.2745,2.2106
18.0912,26.8334,27.6442,21.5782,2.1296
19.2232,27.8445,24.248,20.7885,2.3536
19.1989,26.8223,25.5045,22.6926,2.2066
2.7615,37.5946,43.4553,24.463,2.0556
16.6449,29.5038,24.908,24.1527,2.0416
20.7093,29.5459,34.1558,21.3432,1.9536
22.2119,28.8021,30.8344,18.9702,2.1716
19.1143,25.8681,27.5051,22.3411,2.2266
14.6149,24.4038,24.9904,20.1607,2.0516
18.7615,27.5389,26.534,19.3961,2.2626
19.2502,25.605,25.664,21.4954,2.2036
17.2542,27.3535,26.9499,19.4676,2.0836
18.8907,26.0015,23.3686,22.4288,2.0456
18.9909,24.7196,24.3247,18.484,2.1206
19.5811,26.6671,25.8879,21.891,2.1496
21.2273,27.7951,30.8151,22.6222,2.2166
17.3211,26.9034,24.2934,21.1549,2.1596
21.7891,29.5064,31.4374,20.4121,2.1386
22.0649,25.8744,23.4178,22.8228,2.1596
18.5714,25.7301,22.7705,20.762,2.1336
15.04,43.35,48.1,9.42,2.4195
19.85,28.94,24.43,11.31,2.6445
18.16,41.65,53.04,7.54,2.5915
25.17,37.31,31.92,8.83,2.8385
22.89,35.74,28.59,14.67,2.3365
18.22,38.7,45.96,7.88,2.4865
31.83,32.82,16.91,8.84,2.4105
2.3224,44.7669,54.0632,22.231,2.2365
2.6485,45.4687,52.3729,19.4292,2.2975
2.6833,43.6246,51.9206,22.6217,2.2535
2.9356,45.8441,52.1499,22.1055,2.1675
2.5634,45.589,48.4945,22.085,2.2145
0,46.786,56.4922,25.6819,1.9865
0,42.8804,50.5205,24.0243,2.1055
1.7269,37.4785,44.165,21.6568,2.3255
1.7464,35.4186,39.0097,13.687,2.3215
1.9185,43.9337,53.6475,22.2286,2.3015
2.0302,45.7297,53.6426,21.0013,2.2755
1.766,35.0457,42.4518,17.9148,2.3645
