BA,CA,BT,BU,PC,AC,BH,CC,CG,ER,DP,EL,BY,BF,RI,BP,BV,CH,DF,PJ,FP,BC,BO,DL,BL
0,0,0,0,0,0,0,0,0,0.564678910004369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.505550579252238,0,0,0,0.180856187467088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.70204097048524,0,0.190378539269635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.23940033486577,0.201315625177365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.486929699115044,0,0,0.694209480825958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.679161462627711,0,0,0,0,0,0,0,0.418875706518492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.07141638708377,0,0,0,0,0.54193026547781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.00632680602703829,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34809636114585,0
0,0,0,0,0,0,0,0,0.589662827555724,0.30870784870872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.149357580321285,0,0,0,1.13322100624721,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.325718101310662,0,0,0,0,0,0,0,0,0,0,0,0,1.0634397183847,0,0
0,0,1.2355779948375,0,0,0,0,0,0,0.173850170127889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.719847943385326,0,0,0,0,0,0.308275285961872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.290675082245569,0,0,0.836274726732463,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.380125382404271,0,0,0,0,0,0,0,0,0,0.456488117236423,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.244385981663579,0,0,0,0,0,0,0,0,0.255536672842145,0,0,0,0,0,0
0.826589324442648,0,0,0,0,0,0,0,0,0.00658300666801374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.92842967862291,0,0,0,0,0,0,0,0,0,0,0,0,0.00938528788264224,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101823062123751,0,0,2.15987079376901,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.24971736735286,0,0,0,0,0,0,0.107693447376051,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423469738863287,0,1.29756109984639,0,0
0,0,1.36689188282648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157968470483005,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00638550074738416,1.41530062993807,0,0,0
0.763994384305918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00403416697772801,0,0,0,0
0,0,0,0,0,0.95692784583024,0,0.894843726800297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.824107002215891,0,0,0,0,0,0,0,0,0.00221491611269389,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.18125665622768,0,0,0,0,0.277331761991099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.13848091912862,0.0216298895851984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.546541743708269,0,0,0,0.583955129686697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.16310042550641,0.568619950857006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.31068713774818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11273747071156,0
0,0,0,0,0,0.292897157123299,0,0,0.76653454940807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.333457658865594,0,0,0,0,0,0,0,0.763608638062733,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.83345625187278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691177988955952,0,0
0,0,0.960613610826127,0,0,0.660662010845669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.433809931460825,0,0.89949381803521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.18658523442967,0,0,0,0,0,0,0.220068439468159,0,0,0,0,0,0,0,0,0,0,0,0
0.684996378559039,0,0,0,0,0.522267521259043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.543423781261097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.582186384851314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.00393808170515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.03793487676651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.82861305652826,0,0.204536018009004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.99834613753922,0,0,0,0,0,0,0,0,0,0,0,0,0.00972555753413042,0,0,0,0
0,0,0,0,0,0.930915002474635,0,0.870518559762435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.96514871861248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.8773934398703,0,0,0,0,0,0,0.0407041051473569,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.72720217134067,0,0,0.0259189622529878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0809933083288683,2.11762115854022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0819041443927114,0,0,0,0,0,2.03480608725642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00928674958272762,0,0,2.04308490820008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.92784036913167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541889384367645,0
0,0,0,0,0,0,0,1.50664430833019,0.356716578715919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.775250366719474,0,0,0,0,0,0.965996303467699,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.10269358334996,0,0,0,0,0,0,0,0,0,0.777819622315313,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.7910480036195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322087020699016,0,0
0,0,1.1402719184962,0,0,0,0,0.545442172478117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.119780829294561,0,0,0,1.82760328486807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.79618660130719,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975241666666667,0,0,0
0,0,0,0,0,0,0,1.65097270430389,0,0,0,0,0.141056708485799,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.48599308600337,0,0,0,0,0,0,0,0,0,0,0,0.360127464867903,0,0,0,0,0
0,0,0,0,0,0,0,1.61721780089153,0,0,0,0,0,0,0,0,0,0,0.208463120356612,0,0,0,0,0,0
0,0,0,0,0,0,0,1.75942469005672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297529232545299
0.802043161491307,0,0,0,0,0,0,0.674232840920511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.805309091484647,0,0,0,0,0,0,0,0,0.00216439379550491,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.220795831909805,0,0,0,0.274977297574308,0,0,0,0,0,0,0,0,0,0
0,0.903926937570018,0,0,0,0,0,0,0,0,0,0,0,0,0.149795447601589,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.12442479296855,0,0,0,0,0,0,0,0,0,0.483541873698115,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492223655913978,0,0,0,0,0,0,0,0,1.85751324510615,0
0,0,0,0,0,0,0,0,0.458689824702801,0,0,0,0,0,0.600849311572301,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.32045014215854,0.0192498805868304,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407727682303762,0,0,0.625518617433039,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949137948171814,0,0,0,0,0,0,0,1.168356457224,0,0
0,0,1.25352791505003,0,0,0,0,0,0,0,0,0,0,0,0.0129443196514873,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296945386095081,0,0,0,0,0.690688744160484,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319310884353741,0,0,0,0.599928802721088,0,0,0,0,0,0
0.788620399939173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00763708941605839,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.8813875692474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.85670974099099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.74718700222357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811702203659507,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.850603846399591,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.82398441345365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.752407103825136,0,0,0,0,0,0,0,0,0,0,0.0587240057680631,0,0,0,0
0,0,0,0,0,1.56138643384822,0,0,0,0.288454891426013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
