Butyrate,Acetate,Lactate,Succinate,OD
29.9305,4.4131,0,0,0.568966666666667
27.5914,0,46.7301,8.6136,0.687166666666667
21.5316,24.6152,71.5862,6.7671,1.89336666666667
19.1492,29.0056,38.7304,4.9461,0.441166666666667
23.5439,50.187,50.517,5.5618,1.18176666666667
25.3647,11.1392,63.6121,13.5639,1.10596666666667
12.4639,16.9938,37.8998,44.4248,1.61456666666667
0.4184,43.2418,58.9423,9.0376,1.36196666666667
13.054,40.1379,46.7278,8.3494,0.904366666666666
17.1484,17.6279,36.414,33.6466,1.28796666666667
8.6202,26.2989,38.2469,42.4989,1.40596666666667
5.3398,28.5918,56.7745,36.7881,1.41116666666667
22.2081,7.7676,59.2881,22.6055,1.03656666666667
15.1123,0,48.8041,26.1739,1.12856666666667
34.4075,7.4919,51.096,24.2358,0.843366666666667
20.4448,23.5208,58.6899,10.0624,0.501566666666667
1.4761,49.2108,49.7069,7.2562,0.835366666666667
21.9834,31.8664,75.9997,12.0343,1.94176666666667
0.6989,23.1801,62.0896,9.7028,2.18756666666667
5.6973,26.1589,28.2168,40.3355,1.36056666666667
3.444,28.3785,30.5382,45.2147,1.35136666666667
0.1239,30.9312,80.526,0,1.38516666666667
0.1969,31.6562,36.134,48.5135,1.42396666666667
1.3111,58.7179,60.6398,8.3914,0.771966666666667
48.1202,3.17,23.4986,7.8871,1.86876666666667
26.181,0,42.8618,11.5681,0.832966666666667
13.5918,34.8326,45.0565,0,0.458966666666667
32.4336,0,34.5813,8.4979,1.16156666666667
30.6418,0,37.4885,9.4046,1.13596666666667
37.5953,14.1012,20.6891,39.8864,1.73296666666667
43.7658,24.8766,16.6249,9.1878,2.42656666666667
57.0045,27.047,0,15.0574,1.06716666666667
42.6324,5.4434,5.4971,18.3956,1.10176666666667
41.8147,6.3792,15.2831,26.3242,1.52816666666667
41.9476,13.1648,0,38.1758,1.63856666666667
28.9331,0,40.3868,10.168,1.33996666666667
27.3912,0,44.4824,10.8834,1.41656666666667
51.1397,4.6021,15.0597,8.2936,1.20956666666667
28.5134,4.5875,59.2622,8.5388,0.546166666666667
27.9345,3.8038,62.0186,8.0674,0.586566666666667
26.8249,0,37.0434,9.1389,1.00536666666667
30.5164,0,35.9279,9.8797,1.04656666666667
21.1298,24.4385,69.2102,4.7049,2.03416666666667
23.1629,27.036,66.2067,8.0788,2.01216666666667
58.7624,1.2843,27.4707,5.8796,1.81796666666667
19.2826,40.6922,75.8616,6.5004,1.96616666666667
19.116,26.3313,71.9121,5.7222,1.92076666666667
11.3589,16.7022,66.9489,2.3849,1.75936666666667
17.3212,34.2159,79.1207,4.3334,2.20136666666667
19.3759,33.5497,75.3317,7.4363,2.12036666666667
19.3782,30.8521,72.6628,5.9191,2.05336666666667
16.9543,34.315,63.3613,5.55,2.47156666666667
14.2788,43.282,70.9669,6.6208,1.86476666666667
23.8785,33.9742,44.2572,17.5224,1.74216666666667
18.7602,34.8818,59.0508,1.848,1.88276666666667
22.5995,30.3634,54.5474,9.3348,2.11636666666667
10.7702,33.4097,59.3167,27.7009,1.68716666666667
21.2286,26.9974,70.0984,5.2553,1.95116666666667
18.8533,33.7644,51.7744,23.2234,1.77316666666667
23.1349,21.8703,51.6832,4.7913,1.79296666666667
23.0636,32.3628,57.5895,6.9429,1.84736666666667
19.7829,19.7804,55.9812,1.1432,1.82676666666667
14.173,42.7237,66.2237,5.6154,2.06036666666667
9.6995,53.7726,60.664,5.7471,1.47716666666667
22.3095,0,44.9039,6.4228,0.813966666666667
20.2122,29.1185,37.0914,4.7086,0.496366666666667
36.0757,8.4798,52.6297,6.4968,1.05436666666667
18.8953,17.3641,37.7432,40.8805,1.60796666666667
0,48.4698,47.8721,4.4626,1.90736666666667
22.3118,28.9217,40.6535,5.4435,1.06576666666667
1.5018,23.9108,34.7395,32.4245,1.34336666666667
31.7591,28.974,35.5892,4.8495,1.03396666666667
5.2789,26.3952,36.6592,43.1816,1.26596666666667
0,32.0309,53.4231,40.1132,1.26776666666667
21.9728,9.7448,28.3203,25.2282,0.993366666666667
27.2423,15.0411,39.1306,6.7854,0.920366666666667
0,66.0675,62.7665,7.5655,0.797166666666667
17.2013,33.065,67.4181,4.1785,1.90376666666667
21.4392,41.2367,75.2765,0,1.86616666666667
