BA,CA,BT,BU,PC,AC,BH,CC,CG,ER,DP,EL,BY,BF,RI,BP,BV,CH,DF,PJ,FP,BC,BO,DL,BL
0,0,0,0,0,0,0,0,0,0.992463958060288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.735703001579779,0,0,0,0.263191153238547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.898949474737369,0,0.100550275137569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.542652817980589,0.456325557636642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.412035398230089,0,0,0.587433628318584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.614088546334469,0,0,0,0,0,0,0,0.378741709983868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.66359377361342,0,0,0,0,0.335650596947257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.00464534572092192,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989815972842594,0
0,0,0,0,0,0,0,0,0.652017427543095,0.341352528888047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.115963855421687,0,0,0,0.879852744310576,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.231668437832094,0,0,0,0,0,0,0,0,0,0,0,0,0.756376195536663,0,0
0,0,0.875571981696586,0,0,0,0,0,0,0.123196057726153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.694454072790295,0,0,0,0,0,0.297400346620451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.257561286214581,0,0,0.741006049028972,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.45072374499538,0,0,0,0,0,0,0,0,0,0.541268863566369,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.487245261507767,0,0,0,0,0,0,0,0,0.509476984466296,0,0,0,0,0,0
0.989492826833704,0,0,0,0,0,0,0,0,0.00788037987472217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.993131518697532,0,0,0,0,0,0,0,0,0,0,0,0,0.00483337573136606,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465462669893875,0,0,0.987339415378887,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.918527109307046,0,0,0,0,0,0,0.079153377790664,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313364055299539,0,0.960184331797235,0,0
0,0,0.98680679785331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114042933810376,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00448430493273543,0.993914157591288,0,0,0
0.989672763468956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522583053378126,0,0,0,0
0,0,0,0,0,0.512063845582777,0,0.478841870824053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.989363722697056,0,0,0,0,0,0,0,0,0.00265906932573599,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.394923355859568,0,0,0,0,0.604252513598154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.98012533572068,0.0186213070725157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.481124807395994,0,0,0,0.514060092449923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.671161452714851,0.32811938151744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.540140584535701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458564557898631,0
0,0,0,0,0,0.274462430538778,0,0,0.718289441894177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.302657240370551,0,0,0,0,0,0,0,0.693076548025353,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.545396173109028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452292282008476,0,0
0,0,0.5862523816503,0,0,0.403195075479994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.323746808224701,0,0.671280741835775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.837648705388383,0,0,0,0,0,0,0.155353393981805,0,0,0,0,0,0,0,0,0,0,0,0
0.5663155222744,0,0,0,0,0.43178068282777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.994977933343479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.992532337645019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.998579040852576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.991752278975546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.898949474737369,0,0.100550275137569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.993131518697532,0,0,0,0,0,0,0,0,0,0,0,0,0.00483337573136606,0,0,0,0
0,0,0,0,0,0.512063845582777,0,0.478841870824053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.999482267667616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.97741879451103,0,0,0,0,0,0,0.0211915928434949,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.981718139865105,0,0,0.0147319843805467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0367922843364887,0.961957492409359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0386273495430247,0,0,0,0,0,0.959648215209519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00452269423356485,0,0,0.994992731384268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.780007432181345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219249349684132,0
0,0,0,0,0,0,0,0.807953260459857,0.191292875989446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.444992078859356,0,0,0,0,0,0.554479845097694,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.585677239178137,0,0,0,0,0,0,0,0,0,0.4131258727309,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.846284356973193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152188666440448,0,0
0,0,0.675850193715024,0,0,0,0,0.323288850624193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.061389337641357,0,0,0,0.936672051696284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.449019607843137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0
0,0,0,0,0,0,0,0.92080501829587,0,0,0,0,0.0786722425509671,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.804384485666105,0,0,0,0,0,0,0,0,0,0,0,0.194940978077572,0,0,0,0,0
0,0,0,0,0,0,0,0.885289747399703,0,0,0,0,0,0,0,0,0,0,0.114115898959881,0,0,0,0,0,0
0,0,0,0,0,0,0,0.853937659990965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144405962957386
0.542960506481761,0,0,0,0,0,0,0.456436539041302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.989363722697056,0,0,0,0,0,0,0,0,0.00265906932573599,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.444824051930304,0,0,0,0.553980184489238,0,0,0,0,0,0,0,0,0,0
0,0.857317445768408,0,0,0,0,0,0,0,0,0,0,0,0,0.142071494042163,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.699283645785703,0,0,0,0,0,0,0,0,0,0.300716354214297,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258064516129032,0,0,0,0,0,0,0,0,0.973862696443342,0
0,0,0,0,0,0,0,0,0.43038484787427,0,0,0,0,0,0.563771912149909,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.982940975776186,0.0143295803480041,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394333488156061,0,0,0.604969809568045,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749733759318424,0,0,0,0,0,0,0,0.922896698615548,0,0
0,0,0.988768633857464,0,0,0,0,0,0,0,0,0,0,0,0.0102103328568511,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298928276999176,0,0,0,0,0.695300906842539,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346938775510204,0,0,0,0.651836734693878,0,0,0,0,0,0
0.989279197080292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00958029197080292,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.988244831779489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.994932432432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.983020012128563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.993556085918854,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982940387195706,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.994749794913864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.926229508196721,0,0,0,0,0,0,0,0,0,0,0.0722905282331512,0,0,0,0
0,0,0,0,0,0.843384822028207,0,0,0,0.155809267965077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.710250201775625,0,0.289245359160613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.905191873589165,0,0,0,0,0.0849322799097065,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.47668102640944,0,0.522195167634388,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.995928500496524,0,0,0,0,0,0,0,0.00248262164846077,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.746952630766857,0.251967288998611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.21977132449661,0,0,0.779520388545988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.62107705458542,0,0,0,0,0,0,0,0.377701795090976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.583679114799447,0,0,0,0,0.415629322268326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
