Butyrate,Acetate,Lactate,Succinate,OD
0.8097,34.987,49.112,0,1.06244
2.5088,51.673,53.8941,0,1.934
0,41.3098,56.5625,0,2.036
21.85,37.78,48.24,6.19,2.4515
25.43,41,34.79,6.47,2.7735
29.03,34.42,28.42,10.03,2.5525
33.14,26,20.31,12.58,2.3585
17.52,31.96,43.84,6.49,2.6825
48.26,18.59,0,6.41,1.9255
31.49,27.48,14.18,18.75,2.3465
21.56,36.52,47.9,0,2.4965
21.67,35.61,49.22,3.91,2.7655
19.72,34.02,41.42,0,2.3705
20.3,36.44,50,4.52,2.4905
29.2,27.27,21.39,8.66,2.2485
46.46,24.73,0,12.95,2.3655
50.49,23.23,2.54,5.81,2.0705
28.65,23.89,20.13,10.29,2.0765
47.05,16.96,0,18.93,2.1455
40.99,15.45,13.5,6.33,2.2365
15.08,46.08,46.52,5.09,2.4525
17.1,34.17,42.16,10.99,2.4825
22.31,25.98,43.4,8.97,2.4785
21.32,30.72,53.85,0,2.6895
53.76,30.36,0,9.23,2.6785
64.46,12.89,0.77,5.68,1.7145
24.45,22.61,41.09,8.86,2.0285
32.56,29.45,13.19,20.73,2.6235
41.26,18.91,0,22.54,2.3155
24.95,17.79,35.18,10.15,2.1995
26.67,41.47,32.24,6.61,2.7935
26.05,42.58,37.43,4.48,2.3895
29.13,35.92,28.63,12.57,2.6635
61.34,20.22,0,14.26,2.0535
17.14,39.01,40.48,8.31,2.1515
27.03,41.01,32.48,5.55,2.9145
35.52,24.59,12.67,31.29,2.5415
23.74,38.25,33.3,5.79,2.9845
33.37,36.96,29.28,6.22,2.5615
24.54,24.06,47.79,0,2.7125
26.98,39.05,28.19,3.66,2.7345
38.69,19.54,0,13.56,2.2965
28.29,40.27,27.94,11.95,2.5435
30.81,35.82,25.2,5.51,2.7165
20.51,32.24,53.34,0,2.4135
22.12,34.27,28.53,3.9,3.0405
22.62,22.4,29.45,16.53,2.0735
22.42,37.23,32.18,4.98,2.9245
20.52,29.45,36.41,0,2.5205
31.27,37.64,16.48,17.63,2.7175
22.17,34.57,45.92,0,2.4935
62.57,8.38,0,8.59,1.8275
23.88,16.12,37.63,8.63,2.0695
25.6,17.41,32.92,10.17,2.5185
21.19,38.16,48.95,0,2.5205
27.25,52.06,41.3,11.66,2.9045
22.43,24.53,29.06,16.54,2.0715
28.73,34.77,25.25,11.56,2.6675
21.41,36.78,49.58,0,2.4735
24.3,20.64,32.35,4.88,2.3805
18.82,37.86,40.08,0,2.0575
67.07,7.29,0,7.89,1.8275
42.78,21.45,1.13,17.46,2.6995
22.43,36.81,26.26,9.24,2.9825
23.95,36.46,27.68,3.42,2.4945
32.21,33.49,27.57,8.13,2.8605
30.9,32.82,27.67,7.52,2.5295
47.22,18.18,11.21,9.27,2.7855
57.19,18.55,0,6.02,2.1115
25.05,38.47,32.75,3.95,2.8945
26.51,40.48,31.15,2.5,2.5405
27.32,37.2,29.3,11.94,2.6495
32.3,26.86,17.93,7.66,2.3065
32.67,35.89,25.45,10.86,2.5935
23.29,26.34,23.31,18.49,2.2135
54.28,22.47,0,15.34,2.2045
29.11,37.15,29.76,5.54,2.5225
29.16,36.96,31.1,4.89,2.5845
38.89,19.85,0,14.89,2.0865
27.95,43.13,32,5.1,2.7505
44.52,16.53,14.36,13.2,2.1395
25.03,36.91,32.65,6.18,2.5905
19.17,34.74,45.14,6.1,2.3445
33.76,30.23,12.45,6.16,2.6375
35.84,30.79,15.04,10.79,2.2585
46.21,20.03,0,12.02,2.4415
17.15,32.68,38.34,8.62,2.4445
48.78,21.76,0,7.38,1.8605
29.21,19.21,2.51,21.16,2.3165
21.74,31.18,36,0,2.3255
22.71,0,29.68,3.72,2.5215
20.76,35.26,40.41,7.02,2.1285
16.54,28.45,36.56,2.7,2.1275
37.37,21.21,4.18,9.78,2.3465
51.63,17.94,0,7.07,1.9465
46.41,17.02,0,8.6,2.0545
45.98,16.11,0,14.34,2.0195
38.95,16.98,0,14.26,2.0075
51.35,6.81,0,4.62,2.1425
14.81,42.88,44.18,5.43,2.4955
18.22,35.16,40.5,13.99,2.9875
24.53,25.6,26.24,11.59,2.5515
21.36,27.56,44.17,6.66,2.0035
51.38,21.49,0,3.26,2.0205
55.78,0,0,8.59,1.5065
23.08,20.71,27.82,10.32,2.0905
29.73,19.94,5.98,19.89,2.9945
38.77,17.84,0,22.53,2.5425
26.26,20.39,31.38,12.08,2.7475
42.43,26.96,2.04,7.84,2.9755
31.75,31.48,17.35,6.69,2.6295
35.69,23.59,5.05,16.71,2.1725
54.93,12.82,0,8.51,1.9655
15.83,37.25,40.42,7.54,2.1085
35.13,26.23,9.98,5.34,3.1415
33.26,20.51,1.93,31.53,2.7415
42.36,25.55,6.45,7.26,2.9495
47.45,20.85,0,6.61,2.1665
24.47,22.38,35.66,4.9,2.2135
45.7,20.54,0.45,6.2,2.0795
44.85,24.32,0,14.91,2.0295
25.97,36.6,22.21,12.18,2.4685
50.41,27.51,0,7.42,2.5445
19.48,29.72,46.37,5.27,2.1525
41.94,21.69,0,6.8,2.9055
25.81,24.1,22.92,18.45,3.2605
36.7,25.99,12.77,6.57,2.5245
22.46,22.56,21.83,5.98,2.0205
35.86,30.43,0,22.25,2.4925
22.14,33.18,44.37,0,2.4365
51.92,6.25,0,9.04,1.9385
25.83,18.64,34.23,8.3,2.5095
28.62,17.94,30.06,12.26,2.3505
20.52,28.72,34.15,4.31,2.8365
28.39,31.47,15.84,15.37,2.4105
27.06,22.41,22.65,19.39,2.0365
30.71,30.61,18.02,11.06,2.3385
19.88,34.18,48.98,5.1,2.8675
26.13,21,28.21,4.69,2.7595
17.53,34.55,39.75,0,2.5145
56.45,4.35,0.49,7.84,2.0295
49.26,15.59,0,8.18,2.5595
31.9,29.12,11.27,15.58,2.5035
31.05,15.57,7.4,3.04,2.2435
34.3,28.05,18.13,7.78,2.6235
50.77,23.76,0,9.28,2.5235
47.87,9.89,0,10.05,2.6915
51.91,12.26,0,5.92,2.2115
30.09,28.13,18.94,4.3,2.8755
46.66,26.24,0,4.01,2.3655
38.62,25.05,7.54,16.17,2.2645
46.81,15.38,0,11.63,2.2415
30.37,33.5,21.36,11.91,2.4505
23.56,26.13,22.73,20.59,2.7235
52.68,0,0,8.7,2.4015
32.95,30.82,22.22,6.23,2.5685
23.69,0,25.75,17.55,2.5655
47.14,22.1,0,6.67,2.2525
40.46,23.12,0,17.77,1.9675
43.81,22.97,0,6.92,1.8115
51.33,11.13,0,8.51,1.7155
27.77,34.21,24.23,6.24,2.9335
2.0679,39.8502,41.8717,12.2433,1.7155
3.4418,44.4545,46.4807,19.3063,2.5995
1.9669,35.3073,34.0018,2.9694,1.7115
1.5146,53.3878,50.9577,7.3427,1.8545
10.1058,36.9836,42.0152,18.9276,1.9785
4.7209,41.627,41.0133,23.334,2.2845
6.5839,42.7136,42.292,16.9444,2.2545
4.9726,41.5274,41.1907,28.3891,3.1865
1.8272,46.0245,47.7188,4.0217,1.7175
2.9776,40.5355,43.7704,14.9069,2.0565
2.0109,41.6948,41.4899,5.4978,1.6995
3.6002,48.4236,46.3359,17.0313,2.3095
9.8723,34.9057,24.3411,29.9508,2.3005
0.8992,55.2667,58.5335,8.4998,2.2495
6.4562,47.9626,49.8917,16.974,2.3825
1.3586,43.6566,49.0735,21.4647,2.4325
3.108,45.0788,39.8091,16.5667,2.0055
1.4121,45.3711,48.4284,20.488,2.3325
11.7205,29.7392,26.2165,32.7159,2.0855
2.3448,42.8321,51.8597,19.8798,2.3265
6.9409,40.0516,34.5333,20.6402,1.9505
4.2288,45.5359,53.243,19.8816,2.7415
11.3465,30.7767,30.694,35.8514,2.2595
1.9065,54.8233,55.4243,7.839,2.0555
9.419,56.2856,50.6629,0,1.8615
1.6469,39.2453,44.155,17.9874,1.8485
2.443,36.7657,44.9584,22.6199,1.8495
15.1,36.6905,49.7866,8.5463,2.3985
11.4881,36.9874,38.7132,26.1338,2.6345
7.7588,43.8141,38.9535,21.3611,2.8765
0.7522,50.9525,52.5627,7.9726,2.0785
4.0458,43.5112,44.0049,19.9296,2.6565
2.2673,47.824,44.7521,0,1.6585
3.3367,34.9162,39.1815,17.8921,1.7465
12.9986,46.3677,42.2761,15.039,2.2555
3.9025,48.9484,50.6479,2.229,1.9515
1.5593,50.6053,52.5192,11.1415,2.0185
6.5706,36.8399,41.8106,25.9555,2.3755
9.0951,41.0891,47.1736,18.7247,2.3425
1.4089,56.2723,49.5949,7.2795,1.9615
16.064,43.0019,34.8484,13.3332,2.4095
5.8337,36.6753,40.1917,33.8893,2.0095
1.4381,36.0848,43.8315,17.8231,1.8355
3.7094,51.4135,54.3242,7.9536,2.0455
7.5045,40.4231,36.6624,23.9725,2.3755
3.5058,46.8888,50.42,3.3018,1.6565
4.7653,51.0202,45.3873,18.1783,2.3065
8.1467,46.7905,45.1027,13.003,2.1645
6.738,59.049,47.7814,6.981,2.5755
8.8759,41.1045,42.5628,32.0223,2.5395
1.5314,41.473,40.904,12.2132,1.8125
4.1858,44.628,46.9062,20.0364,2.2595
4.1431,37.279,47.6938,25.0747,2.0415
2.5835,49.8985,55.0851,18.348,2.1585
8.5762,41.6548,36.0492,29.7999,2.1655
5.1358,42.6397,37.8994,14.9433,2.1085
1.9364,46.4514,52.0198,21.4085,2.3455
1.7508,58.3011,53.7355,2.4763,2.0045
